"Compound"	"Reactions of compounds"
CPD-8675	RXN-8492
CPD-14241	RXN-18571 // RXN-18561 // RXN-18560
CPD-19532	""
CPD-19861	RXN-18570 // RXN-18568
CPD-18296	RXN-16978 // RXN-16977
CPD-1823	X-METHYL-HIS-DIPEPTIDASE-RXN
CPD-16783	RXN-15538
CPD-188	""
CPD-14834	RXN-13812
CPD-9647	UNDECAPRENOL-KINASE-RXN
CPD-14512	RXN-13526 // RXN-13525
CPD-15016	RXN-13990
CPD-14076	RXN-13060 // RXN-13059
D-4-HYDROXY-2-KETO-GLUTARATE	""
CPD-11852	RXN-10888
CPD-15104	RXN-14106
NICOTINE	RXN66-81 // RXN66-82 // NICOTINE-DEHYDROGENASE-RXN // RXN66-61 // RXN66-101 // RXN-13076 // RXN66-146 // RXN66-83 // RXN-8248 // RXN-13060
CPD-11855	RXN-12074
CPD-9847	RXN-9211
CPD-15344	RXN-14469 // RXN-14468
CPD-9424	RXN-8982 // RXN-13524 // RXN-13525 // RXN-8981
CPD-15467	RXN-14671 // RXN-14631
CPD-9181	""
CPD-8670	RXN-8488 // RXN-8487
L-GAMMA-GLUTAMYLCYSTEINE	GLUTATHIONE-SYN-RXN // HOMOGLUTATHIONE-SYNTHASE-RXN // 1.6.4.9-RXN // RXN-14430 // GLUTCYSLIG-RXN
CPD-17888	RXN-16591 // RXN-16590
D-ALTRONATE	ALTRODEHYDRAT-RXN // ALTRO-OXIDOREDUCT-RXN
CPD-10309	""
CPD-15937	RXN-8701
CPD-16836	""
CPD-14831	RXN-13810 // RXN-13809
L-GULONATE	L-GULONATE-3-DEHYDROGENASE-RXN // GLUCURONATE-REDUCTASE-RXN // RXN-15920 // RXN-8783
CPD-14469	RXN-11367
D-GALACTONATE	GALACTONDEHYDRAT-RXN // TRANS-RXN-16 // GALACTONOLACTONASE-RXN
CPDMETA-13651	RXN-12673
CPD-17129	RXN-15893 // RXN-15892 // RXN-18853
CPD-9833	RXN-9213
L-IDONATE	RXN0-7021 // L-IDONATE-2-DEHYDROGENASE-RXN // RXN-12107 // 1.1.1.264-RXN // TRANS-RXN-181A
CPD-9331	""
CPD0-1083	RXN-11152 // RXN-11380 // RXN-11151 // RXN0-5229 // RXN-17749 // TRANS-RXN0-227 // RXN-11383
CPD-8986	1.14.13.101-RXN
CPD-10705	""
CPD-8657	RXN-8485 // RXN-8484
N5-METHYLGLUTAMINE	RXN-12902 // GLUTAMATE--METHYLAMINE-LIGASE-RXN
CPD-18376	""
CPD-304	N6-METHYL-LYSINE-OXIDASE-RXN
CPD-17885	RXN-16588 // RXN-16587
N6N6N6-TRIMETHYL-L-LYSINE	TRIMETHYLLYSINE-DIOXYGENASE-RXN
CPD-15799	RXN-14869 // 2.1.1.121-RXN
CPD-596	DIMETHYLARGININASE-RXN
CPD-14818	RXN-13795 // RXN-13794
3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE	RXN-9896 // TRIMETHYLLYSINE-DIOXYGENASE-RXN
CPD-14466	RXN-13478 // RXN-13477
N-METHYLARGININE	""
CPD-12373	RXN-11408 // RXN-11404
CPD-12030	RXN-11077 // RXN-11075 // RXN-13597
CPD-11598	""
CPD-13296	""
CPD-9951	RXN-9341 // RXN-9339
CPD-13295	""
CPD-9790	RXN-9206
CPD-7888	""
CPD-9217	RXN-8875 // RXN-8882
CPD-12031	""
CPD-8917	RXN-8693 // RXN-12887 // RXN-8692
CPD-12050	RXN-11091 // RXN-11077
CPD-8654	RXN-14450 // RXN-14449 // RXN-8479 // RXN-8482
CPD-7912	""
CPD-18304	""
CPD-8464	""
CPD-15741	RXN-14871 // RXN-14834
CPD-17915	""
CPD-14815	RXN-13794 // RXN-13793
CPD0-1629	""
CPD-14462	""
CPD-7884	""
CPD-12359	RXN-11395 // RXN-11394
CPD-8468	""
CPD-9939	RXN-9318 // RXN-9317
CPD-8465	""
CPD-9787	RXN-9209 // RXN-13557 // RXN-9208
CPD-7913	""
CPD-9214	RXN-8883
CPD-7889	""
CPD-8854	RXN-8625
CPD-7885	""
CPD-8651	RXN-8478 // RXN-8482 // RXN-8485 // RXN-8486 // RXN-8487 // RXN-8491 // RXN-8567 // RXN-8625 // RXN-8461
CPD-7881	""
CPD-18301	RXN-16982 // RXN-16981
CPD-8466	""
CPD-17431	RXN-16186 // RXN-16185
CPD-7914	""
CPD-16900	RXN-15669
CPD-7890	""
CPD-15043	RXN-14036 // RXN-14031
CPD-7887	""
CPD-14609	""
CPD-7883	""
CPD-14458	""
CPD-8467	""
CPD-12356	RXN-13468 // RXN-11389
VOMILENINE	2.4.1.219-RXN // RAUCAFFRICINE-BETA-GLUCOSIDASE-RXN // 1.5.1.32-RXN // 1.14.13.75-RXN
CPD-9935	RXN-9315 // RXN-9314
CPD-3612	""
CPD-9777	RXN-9201 // RXN-13587 // RXN-11192
CPD-13166	RXN-12239 // RXN-12238
CPD-9203	RXN-8859 // RXN-11851
CPD-18456	RXN-17078 // RXN-17079
CPD-8676	RXN-8493
CPD-1093	RXN0-382 // TRANS-RXN0-448
CPD-19603	""
CPD0-1372	""
CPD-18297	RXN-16978
CPD-14742	RXN-13701
CPD-17428	RXN-16182 // RXN-16185 // RXN-16181
3-KETOLACTOSE	KETOLACTOSE-RXN // LACTOSE-DEHYDRO-RXN
CPD-16870	RXN-15641 // RXN-15640
CPD0-1293	""
CPD-14846	RXN-15541 // RXN-13828
CPD-14296	RXN-13317 // RXN-13315
CPD-14514	RXN-13527
CPD-3742	""
CPD-14389	RXN-13424
CPD-14258	RXN-13277 // RXN-13276
CPD-12315	""
CPD-3613	""
R-NICOTINE	R161-RXN
CPD-14254	RXN-13314 // RXN-13316 // RXN-13274 // RXN-13269
3-UREIDO-ISOBUTYRATE	RXN-11210 // RXN-11211
CPD-18529	MALTACETYLTRAN-RXN
CPD-9848	RXN-9212 // RXN-9219
CPD-11997	RXN-11029 // RXN-11028
CPD-9425	RXN-8983 // RXN-8982
CPD0-1373	""
CPD-9182	""
CPD-15774	""
CPD-8671	RXN-8489 // RXN-8488 // RXN-8491
ACETYLMALTOSE	TRANS-RXN0-473
CPD-18645	""
CPD0-1316	""
CPD-17911	""
CPD-14297	RXN-13318 // RXN-13316
CPD-16781	RXN-15542 // RXN-15543 // RXN-15541
CPD-522	6-ACETYLGLUCOSE-DEACETYLASE-RXN
CPD-14832	RXN-13811 // RXN-13810
CPD-14259	RXN-13280 // RXN-13277
CPD-14471	RXN-11394 // RXN-13483
CPD-3615	""
CPD-13905	RXN-12858
CPD-14256	RXN-13275 // RXN-13274
CPD-11849	""
CPD-19346	""
CPDMETA-13652	RXN-12673
CPD-13165	RXN-12238 // RXN-13574 // RXN-12236
CPD-9835	RXN-9211
GLUCONOGAMMALACTONE	""
CPD-9332	""
CPD-16883	RXN-15659
CPD-8987	1.14.13.101-RXN
CPD-10753	RXN-10002 // RXN-10001
CPD-8658	RXN-8492 // RXN-8493 // RXN-8485
CPD0-1370	""
CPD-18377	""
CPD-14732	RXN-13692
CPD-17886	RXN-16589 // RXN-16588
3-DEHYDRO-ALPHA-GLUCOSE	KETOGLUCOSE-REDUCTASE-RXN // 3-KETOGLUCOSIDASE-RXN
CPD-15800	RXN-14873 // RXN-14872
CPD-544	GLYCOSULFATASE-RXN
CPD-14829	RXN-13808 // RXN-13807
CPD-14295	RXN-13315 // RXN-13314
CPD-14467	RXN-11366 // RXN-13479
CPD-370	RXN-18084 // N-ACETYLHEXOSAMINE-1-DEHYDROGENASE-RXN // N-ACYLHEXOSAMINE-OXIDASE-RXN
CPD-12374	RXN-11408 // RXN-11406
CPD-14257	RXN-13276 // RXN-13275
CPD-11688	RXN-10797 // RXN-10796
CPD-17675	RXN-16459
CUPRIZONE	""
CPD-17676	""
AGARITINE	AGARITINE-GAMMA-GLUTAMYLTRANSFERASE-RXN
CPD-17680	""
CPD-17674	RXN-16459
CPD-17685	""
KCL	""
CPD0-2418	""
CPD0-1421	""
BH4NA	""
CPD0-2508	""
CPD0-2394	""
CPD-8916	""
CPD0-2505	""
CPD0-2390	""
CPD-19634	""
NaF	""
CPD0-2434	""
CPD0-2386	""
S-LACTOYL-GLUTATHIONE	GLYOXII-RXN // GLYOXI-RXN
CPD-18500	TRANS-RXN-278
NH42SO4	""
CPD0-2427	""
CPD0-1693	""
CPD-17695	""
MGCL2	""
CPD0-2419	""
CPD0-1589	""
CPD-12921	""
CPD0-2622	""
CPD0-2398	""
CPD-9010	""
CPD0-2506	""
CPD0-2391	""
CPD-19638	""
CPD0-2503	""
CPD0-2387	""
CPD-18501	TRANS-RXN-279
NH4CL	""
CPD0-2272	""
CPD0-2432	""
CPD-12308	RXN-11349 // RXN-11348
CPD0-1695	""
CPD0-2213	""
CPD-18101	""
CPD-12259	RXN-11065 // RXN-11291
NA2SO4	""
CPD-18806	RXN-17393 // RXN-17392
CPD0-2420	""
CPD-11998	RXN-11301 // RXN-11029
CPD0-1592	""
CPD-17989	RXN-17391
CPD-13508	""
CPD-17969	RXN-16691 // RXN-16665
CUSO4	""
CPD0-2274	""
CPD-5821	RXN-6201 // 3.5.2.17-RXN
CPD-12310	RXN-11351 // RXN-11350
CPD-16698	RXN-15456 // RXN-15457 // RXN-15455
CPD0-2245	""
CPD-13927	RXN-12896 // RXN-12895 // RXN-12886
CPD-12260	RXN-11031 // RXN-11030 // RXN-11301
O-UREIDOHOMOSERINE	RXN-10 // RXN-9
CPD-18807	RXN-17393
3-UREIDO-PROPIONATE	BETA-UREIDOPROPIONASE-RXN // DIHYDROPYRIMIDINASE-RXN
CPD-11999	RXN-11030
CPD0-2331	RXN0-6451 // RXN0-6450
CPD-18804	RXN-17392
CPD-7299	3.5.1.95-RXN // BARBITURASE-RXN
CPD-17987	RXN-16688
CPD-15320	RXN-14460 // RXN-14459
CPD0-2287	""
5-UREIDO-4-IMIDAZOLE_CARBOXYLATE	R128-RXN // R127-RXN
CPD-17947	RXN-16690 // RXN-16660
CPD0-2338	RXN0-6450 // RXN0-6460 // RXN-12894 // RXN0-6444
CPD0-2269	""
CPD-8524	RXN0-275
CPD-12303	RXN-11346 // RXN-11347
CPD-389	RXN-11141 // RXN0-7024 // R165-RXN // RXN-12221 // OXAMATE-CARBAMOYLTRANSFERASE-RXN
CPD-18808	RXN-17393
CPD-15321	RXN-14459 // RXN-14458
CPD-12000	RXN-11031
CPD-1091	UREIDOGLYCOLATE-LYASE-RXN // R165-RXN // RXN0-7024 // UREIDOGLYCOLATE-HYDROLASE-RXN // URUR-RXN // ALLANTOICASE-RXN
CPD-18805	RXN-17392
2-UREIDO-PROPIONATE	""
CPD-17988	RXN-16690
CPD0-2298	RXN-12221 // URUR-RXN // RXN-11141 // ALLANTOATE-DEIMINASE-RXN
CPD-17968	RXN-16688 // RXN-16664
CPD0-2412	""
2-R-HYDROXYPROPYL-COM	1.1.1.268-RXN // 4.2.99.19-RXN
CPD0-1355	""
2-S-HYDROXYPROPYL-COM	1.1.1.269-RXN // RXN-8805
AG2SO4	""
CPD-19035	RXN-17597
CPD0-2507	""
CPD-13773	RXN-12765 // RXN-12764
CPD0-2393	""
CPD0-1422	RXN0-6705
CPD-19639	""
CPD-17273	RXN-16030 // RXN-16025
CPD0-2504	""
CPD-18350	RXN-17012 // RXN-17008
CPD0-2389	""
CPD-18351	RXN-17013 // RXN-17009
CPD-19633	""
CPD-18380	RXN-17020 // RXN-17019
NH4OH	""
CPD-479	RXN-7704 // RXN-9753 // RXN-12539 // RXN-2202 // R15-RXN // RXN-15650 // RXN-14685 // RXN-14147 // RXN-7708 // R147-RXN // 2.6.1.41-RXN // METHIONINE--GLYOXYLATE-TRANSAMINASE-RXN
CPD0-2433	""
CPDQT-30	RXNQT-4348 // RXNQT-4175 // RXNQT-4174 // RXN-18203
CPD0-1696	""
CPDQT-27	RXNQT-4345 // RXNQT-4166 // RXNQT-4165 // RXN-18209
CPD-18499	TRANS-RXN-277
CPDQT-28	RXNQT-4346 // RXNQT-4169 // RXNQT-4168 // RXN-18207
NACL	""
2-OXO-5-METHYLTHIOPENTANOIC-ACID	RXN-2205 // RXNQT-4163 // RXN-18198
CPD0-2422	""
CPDQT-29	RXNQT-4347 // RXNQT-4172 // RXNQT-4171 // RXN-18205
CPD0-1608	""
CPD-9592	RXN-9088
CPD-13515	""
CPD-9862	RXN-9232 // RXN-9231
CPD-9863	RXN-15308 // RXN-9239 // RXN-9238
IODINE-MOLECULE	IODIDE-PEROXIDASE-RXN
2-OCTAPRENYLPHENOL	2-OCTAPRENYLPHENOL-HYDROX-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
Elemental-Sulfur	1.13.11.55-RXN // SULFUR-DIOXYGENASE-RXN // RXN-8210 // H2SOXIREDPYRO-RXN // R164-RXN // RXN-8380 // RXN-18223 // RXN-18228 // RXN-18225 // RXN-8136 // RXNQT-4351 // RXN-12025 // RXN-14537 // RXN-8362 // RXN-10852 // RXN-8156
CPD-9853	RXN-9224 // RXN-9223
HG0	MERCURY-II-REDUCTASE-RXN
CPD-9854	RXN-9225 // RXN-9224
CPD-12799	RXN-11817 // RXN-11818
CPD-9867	RXN-9233 // RXN-9232
NITROUS-OXIDE	RXN-12112 // RXN-12643 // RXN-14137 // RXN-13581 // RXN-12130 // RXN-14138 // RXN-16320 // RXN-12129 // NITRIC-OXIDE-REDUCTASE-RXN // RXN-13579
2-OCTAPRENYL-6-HYDROXYPHENOL	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN
HS	HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN // SULFITE-REDUCT-RXN // 2.5.1.65-RXN // RXN-8398 // RXN-8156 // R17-RXN // ACSERLY-RXN // RXN-14537 // RXN-14694 // RXN-10719 // RXN-15618 // RXN-8339 // RXN-17804 // RXN-18001 // RXN-18002 // RXN-6703 // RXN-15348 // R225-RXN // SULFITE-REDUCTASE-FERREDOXIN-RXN // RXN-9384 // RXN-15369 // MERCAPYSTRANS-RXN // RXN-18703 // RXN-14638 // R521-RXN // PHOSPHO-DETHIO-RXN // RXN0-6945 // RXN-8272 // TRANS-RXN-310 // RXN-16226 // R164-RXN // R261-RXN // RXN-10851 // LCYSDESULF-RXN // RXN-15241 // RXN66-562 // RXN-15129 // DCYSDESULF-RXN // RXN-15148 // HOMOCYSTEINE-DESULFHYDRASE-RXN // L-3-CYANOALANINE-SYNTHASE-RXN // RXN-14720 // RXN-2189 // RXN66-534 // RXN-14632 // H2SOXIREDPYRO-RXN // RXN-8269 // THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN // 2.8.1.5-RXN // 1.13.11.55-RXN // RXN-8202 // RXN0-6385 // METHANETHIOL-OXIDASE-RXN // RXN-1901 // CYSTEINE-LYASE-RXN
CPD-9868	RXN-9240 // RXN-9239
CPD-12800	""
CPD-16523	RXN-12944 // RXN-15308
